Month,TOTAL,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,Yes,No,A,B,C1,C2,D,E
Weighted Base,11988,5825,6163,1169,1806,2359,2260,2178,2217,3332,8656,1117,4243,3298,2167,743,420
Jan 2015,689,373,316,65,102,105,158,170,89,203,486,100,211,260,73,25,21
Feb 2015,802,305,497,110,168,132,161,150,80,269,533,51,278,232,182,35,25
Mar 2015,982,541,440,139,112,201,166,209,154,293,688,107,402,284,109,56,23
Apr 2015,1053,514,539,70,181,141,215,259,187,233,820,125,333,246,186,127,36
May 2015,1102,508,594,62,189,236,192,170,253,307,796,100,386,304,190,90,33
Jun 2015,995,403,593,92,124,216,180,153,230,288,707,98,362,242,170,82,41
Jul 2015,1538,744,794,188,176,324,304,281,264,372,1166,118,612,406,260,87,55
Aug 2015,1499,681,819,177,185,357,298,219,261,530,969,145,597,359,283,79,37
Sep 2015,900,476,424,38,120,161,222,139,220,226,674,72,250,243,246,68,23
Oct 2015,890,505,384,85,132,155,128,173,216,215,674,100,326,289,122,33,21
Nov 2015,626,327,299,22,146,134,139,105,81,165,461,51,228,194,100,32,21
Dec 2015,912,449,463,119,169,197,96,150,181,230,682,52,260,239,246,29,85
