Month,TOTAL,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,Yes,No,A,B,C1,C2,D,E
Weighted Base,12519,6413,6106,1442,2023,2473,2814,2008,1759,3838,8681,869,4814,3540,1932,812,552
Jan 2014,371,166,206,32,124,56,64,60,35,103,268,8,119,148,64,28,3
Feb 2014,729,408,321,115,102,111,187,156,59,151,579,39,254,235,93,77,31
Mar 2014,820,336,484,83,94,217,179,144,103,265,556,63,259,263,153,69,13
Apr 2014,1173,544,629,199,217,269,225,116,148,424,749,106,450,330,213,46,28
May 2014,1207,531,677,176,143,246,228,205,209,327,881,67,478,335,205,71,51
Jun 2014,1023,536,487,71,90,192,181,226,261,191,831,116,374,257,118,96,62
Jul 2014,1288,716,572,93,205,304,271,191,224,471,817,63,542,362,183,103,35
Aug 2014,1589,813,775,134,250,340,330,341,194,602,987,150,526,428,320,105,59
Sep 2014,1012,612,400,123,129,155,231,188,187,275,737,95,398,297,148,34,39
Oct-Dec 2014,3306,1751,1555,416,668,583,918,381,340,1030,2277,161,1412,885,436,183,230
